element  Z mass    fs    fr  fall     Ns     Nr   Nall
------- -- ---- ----- ----- ----- ------ ------ ------
     Ga 31   69 0.517 0.712 0.601 11.137 11.600 22.737
     Ga 31   71 0.483 0.288 0.399 10.413  4.700 15.113
     Ge 32   70 0.285 0.000 0.138 15.000  0.000 15.000
     Ge 32   72 0.348 0.249 0.297 18.323 14.000 32.323
     Ge 32   73 0.067 0.101 0.085  3.531  5.670  9.201
     Ge 32   74 0.299 0.486 0.396 15.733 27.300 43.033
     Ge 32   76 0.000 0.164 0.085  0.000  9.200  9.200
     As 33   75 1.000 1.000 1.000  1.456  5.330  6.786
     Se 34   76 0.220 0.000 0.076  4.656  0.000  4.656
     Se 34   77 0.079 0.076 0.077  1.679  3.040  4.719
     Se 34   78 0.349 0.179 0.238  7.402  7.210 14.612
     Se 34   80 0.352 0.604 0.517  7.446 24.300 31.746
     Se 34   82 0.000 0.142 0.093  0.000  5.710  5.710
     Br 35   79 0.484 0.000 0.081  0.450  0.000  0.450
     Br 35   81 0.516 1.000 0.919  0.479  4.640  5.119
     Kr 36   80 0.035 0.000 0.020  1.021  0.000  1.021
     Kr 36   82 0.212 0.000 0.119  6.207  0.000  6.207
     Kr 36   83 0.068 0.165 0.110  1.989  3.750  5.739
     Kr 36   84 0.361 0.794 0.550 10.575 18.000 28.575
     Kr 36   86 0.324 0.041 0.200  9.481  0.930 10.411
     Rb 37   85 0.238 0.965 0.601  0.690  2.790  3.480
     Rb 37   87 0.762 0.035 0.399  2.214  0.100  2.314
     Sr 38   86 0.103 0.000 0.091  2.111  0.000  2.111
     Sr 38   87 0.070 0.000 0.062  1.443  0.000  1.443
     Sr 38   88 0.827 1.000 0.846 16.986  2.550 19.536
      Y 39   89 1.000 1.000 1.000  3.344  1.310  4.654
     Zr 40   90 0.523 0.485 0.516  4.529  0.990  5.519
     Zr 40   91 0.134 0.020 0.112  1.158  0.040  1.198
     Zr 40   92 0.149 0.265 0.171  1.289  0.540  1.829
     Zr 40   94 0.195 0.083 0.174  1.687  0.170  1.857
