Z,,A,atom%,N,Z,,A,atom%,N
1,H,1,99.9981,2.59E+10,15,P,31,100,8300
1,H,2,0.00194,5.03E+05,,,,,
"",,,100,2.59E+10,16,S,32,95.018,400258
2,He,3,0.0166,1.03E+06,16,S,33,0.75,3160
2,He,4,99.9834,2.51E+09,16,S,34,4.215,17800
"",,,100,2.51E+09,16,S,36,0.017,72
3,Li,6,7.589,4.2,,,,100,421245
3,Li,7,92.411,51.4,17,Cl,35,75.771,3920
"",,,100,55.6,17,Cl,37,24.229,1250
4,Be,9,100,0.612,,,,100,5170
"",,,,,18,Ar,36,84.595,78400
5,B,10,19.820,3.7,18,Ar,38,15.381,14300
5,B,11,80.180,15.1,18,Ar,40,0.024,22
"",,,100,18.8,,,,100,92700
6,C,12,98.889,7.11E+06,19,K,39,93.132,3500
6,C,13,1.111,7.99E+04,19,K*,40,0.147,6
"",,,100,7.19E+06,19,K,41,6.721,253
7,N,14,99.634,2.12E+06,,,,100,3760
7,N,15,0.366,7.78E+03,20,Ca,40,96.941,58500
"",,,100,2.12E+06,20,Ca,42,0.647,391
8,O,16,99.763,1.57E+07,20,Ca,43,0.135,82
8,O,17,0.037,5.90E+03,20,Ca,44,2.086,1260
8,O,18,0.200,3.15E+04,20,Ca,46,0.004,2
"",,,100,1.57E+07,20,Ca,48,0.187,113
9,F,19,100,804,,,,100,60400
"",,,,,21,Sc,45,100,34.4
10,Ne,20,92.9431,3.06E+06,,,,,
10,Ne,21,0.2228,7.33E+03,22,Ti,46,8.249,204
10,Ne,22,6.8341,2.25E+05,22,Ti,47,7.437,184
"",,,100,3.29E+06,22,Ti,48,73.72,1820
11,Na,23,100,57700,22,Ti,49,5.409,134
"",,,,,22,Ti,50,5.185,128
12,Mg,24,78.992,8.10E+05,,,,100,2470
12,Mg,25,10.003,1.03E+05,23,V,50,0.2497,0.7
12,Mg,26,11.005,1.13E+05,23,V,51,99.7503,285.7
"",,,100,1.03E+06,,,,100,286.4
13,Al,27,100,8.46E+04,24,Cr,50,4.3452,569
14,Si,28,92.230,9.22E+05,24,Cr,52,83.7895,11000
14,Si,29,4.683,4.68E+04,24,Cr,53,9.5006,1240
14,Si,30,3.087,3.09E+04,24,Cr,54,2.3647,309
"",,,100,1.00E+06,,,,100,13100
Z,,A,atom%,N,Z,,A,atom%,N
25,Mn,55,100,9220,35,Br,79,50.686,5.43
"",,,,,35,Br,81,49.314,5.28
26,Fe,54,5.845,49600,,,,100,10.7
26,Fe,56,91.754,7.78E+05,36,Kr,78,0.362,0.20
26,Fe,57,2.1191,18000,36,Kr,80,2.326,1.30
26,Fe,58,0.2819,2390,36,Kr,82,11.655,6.51
"",,,100,8.48E+05,36,Kr,83,11.546,6.45
27,Co,59,100,2350,36,Kr,84,56.903,31.78
"",,,,,36,Kr,86,17.208,9.61
28,Ni,58,68.0769,33400,,,,100,55.8
28,Ni,60,26.2231,12900,37,Rb,85,70.844,5.121
28,Ni,61,1.1399,559,37,Rb*,87,29.156,2.108
28,Ni,62,3.6345,1780,,,,100,7.23
28,Ni,64,0.9256,454,38,Sr,84,0.5580,0.13
"",,,100,49000,38,Sr,86,9.8678,2.30
29,Cu,63,69.174,374,38,Sr,87,6.8961,1.60
29,Cu,65,30.826,167,38,Sr,88,82.6781,19.2
"",,,100,541,,,,100,23.3
30,Zn,64,48.63,630,39,Y,89,100,4.63
30,Zn,66,27.9,362,,,,,
30,Zn,67,4.1,53,40,Zr,90,51.452,5.546
30,Zn,68,18.75,243,40,Zr,91,11.223,1.210
30,Zn,70,0.62,8,40,Zr,92,17.146,1.848
"",,,100,1300,40,Zr,94,17.38,1.873
31,Ga,69,60.108,22.0,40,Zr,96,2.799,0.302
31,Ga,71,39.892,14.6,,,,100,10.78
"",,,100,36.6,41,Nb,93,100,0.780
32,Ge,70,21.234,24.3,,,,,
32,Ge,72,27.662,31.7,42,Mo,92,14.525,0.370
32,Ge,73,7.717,8.8,42,Mo,94,9.151,0.233
32,Ge,74,35.943,41.2,42,Mo,95,15.838,0.404
32,Ge,76,7.444,8.5,42,Mo,96,16.672,0.425
"",,,100,115,42,Mo,97,9.599,0.245
33,As,75,100,6.10,42,Mo,98,24.391,0.622
"",,,,,42,Mo,100,9.824,0.250
34,Se,74,0.89,0.60,,,,100,2.55
